DATE,CCUSSP02CLM650N
1979-11-01,38.999999999
1979-12-01,38.999999999
1980-01-01,38.999999999
1980-02-01,38.999999999
1980-03-01,38.999999999
1980-04-01,38.999999999
1980-05-01,38.999999999
1980-06-01,38.999999999
1980-07-01,38.999999999
1980-08-01,38.999999999
1980-09-01,38.999999999
1980-10-01,38.999999999
1980-11-01,38.999999999
1980-12-01,38.999999999
1981-01-01,38.999999999
1981-02-01,38.999999999
1981-03-01,38.999999999
1981-04-01,38.999999999
1981-05-01,38.999999999
1981-06-01,38.999999999
1981-07-01,38.999999999
1981-08-01,38.999999999
1981-09-01,38.999999999
1981-10-01,38.999999999
1981-11-01,38.999999999
1981-12-01,38.999999999
1982-01-01,38.999999999
1982-02-01,38.999999999
1982-03-01,38.999999999
1982-04-01,38.999999999
1982-05-01,38.999999999
1982-06-01,46.459999999
1982-07-01,46.839999999
1982-08-01,50.359999999
1982-09-01,51.779999999
1982-10-01,53.859999999
1982-11-01,56.339999999
1982-12-01,58.469999999
1983-01-01,59.519999999
1983-02-01,60.459999999
1983-03-01,60.849999999
1983-04-01,61.669999999
1983-05-01,63.339999999
1983-06-01,64.509999999
1983-07-01,65.509999999
1983-08-01,66.7
1983-09-01,68.32
1983-10-01,69.99
1983-11-01,71.639999999
1983-12-01,72.809999999
1984-01-01,73.4
1984-02-01,73.57
1984-03-01,73.49
1984-04-01,74.729999999
1984-05-01,76.089999999
1984-06-01,77.059999999
1984-07-01,78.04
1984-08-01,78.839999999
1984-09-01,79.209999999
1984-10-01,80.9
1984-11-01,86.209999999
1984-12-01,89.019999999
1985-01-01,90.209999999
1985-02-01,92.469999999
1985-03-01,94.709999999
1985-04-01,97.11
1985-05-01,99.509999999
1985-06-01,101.57
1985-07-01,171.959999999
1985-08-01,174.04
1985-09-01,175.269999999
1985-10-01,176.679999999
1985-11-01,178.25
1985-12-01,183.66
1986-01-01,185.599999999
1986-02-01,188.209999999
1986-03-01,190
1986-04-01,188.259999999
1986-05-01,188.049999999
1986-06-01,192.179999999
1986-07-01,192.55
1986-08-01,197.63
1986-09-01,198.82
1986-10-01,200.83
1986-11-01,202.96
1986-12-01,205
1987-01-01,206.29
1987-02-01,205.39
1987-03-01,212.54
1987-04-01,212.28
1987-05-01,214.8
1987-06-01,222.16
1987-07-01,224.64
1987-08-01,225.44
1987-09-01,225.35
1987-10-01,232.6
1987-11-01,235.15
1987-12-01,238.11
1988-01-01,241.15
1988-02-01,240.94
1988-03-01,244.33
1988-04-01,243.96
1988-05-01,248.07
1988-06-01,250.79
1988-07-01,244.74
1988-08-01,245.82
1988-09-01,246.38
1988-10-01,247.77
1988-11-01,245.47
1988-12-01,247.49
1989-01-01,245.9
1989-02-01,246.01
1989-03-01,254.71
1989-04-01,252.26
1989-05-01,254.49
1989-06-01,269.52
1989-07-01,274.7
1989-08-01,278.54
1989-09-01,281.02
1989-10-01,285.31
1989-11-01,291.38
1989-12-01,296.58
1990-01-01,295.4
1990-02-01,295.48
1990-03-01,297.64
1990-04-01,297.14
1990-05-01,297.11
1990-06-01,297.27
1990-07-01,298.2
1990-08-01,304.21
1990-09-01,307.31
1990-10-01,319.19
1990-11-01,331.19
1990-12-01,336.86
1991-01-01,337.38
1991-02-01,337.67
1991-03-01,344.38
1991-04-01,338.9
1991-05-01,341.95
1991-06-01,347.76
1991-07-01,348.23
1991-08-01,353.16
1991-09-01,357.15
1991-10-01,360.46
1991-11-01,368.33
1991-12-01,374.87
1992-01-01,353.8
1992-02-01,347.3
1992-03-01,349.53
1992-04-01,346.78
1992-05-01,347.69
1992-06-01,359.88
1992-07-01,364.17
1992-08-01,374.9
1992-09-01,375.92
1992-10-01,373.38
1992-11-01,381.3
1992-12-01,382.33
1993-01-01,384.82
1993-02-01,390.84
1993-03-01,401.06
1993-04-01,404.5
1993-05-01,405.27
1993-06-01,404.02
1993-07-01,404.07
1993-08-01,409.2
1993-09-01,410.13
1993-10-01,411.86
1993-11-01,420.33
1993-12-01,431.04
1994-01-01,430.65
1994-02-01,429.47
1994-03-01,427
1994-04-01,427
1994-05-01,422.66
1994-06-01,418.94
1994-07-01,422.84
1994-08-01,418.89
1994-09-01,412.2
1994-10-01,409.68
1994-11-01,416.43
1994-12-01,404.09
1995-01-01,409.87
1995-02-01,410.73
1995-03-01,405.22
1995-04-01,388.2
1995-05-01,376.34
1995-06-01,374.48
1995-07-01,383.93
1995-08-01,395.53
1995-09-01,396.74
1995-10-01,416.08
1995-11-01,414.23
1995-12-01,407.13
1996-01-01,412.76
1996-02-01,412.53
1996-03-01,411.64
1996-04-01,406.81
1996-05-01,407.72
1996-06-01,409.68
1996-07-01,410.73
1996-08-01,410.79
1996-09-01,412.98
1996-10-01,420.64
1996-11-01,420.63
1996-12-01,424.97
1997-01-01,419.5
1997-02-01,412.51
1997-03-01,414.79
1997-04-01,418.88
1997-05-01,419.03
1997-06-01,416.47
1997-07-01,416.78
1997-08-01,414.73
1997-09-01,415.2
1997-10-01,420.87
1997-11-01,435.41
1997-12-01,439.81
1998-01-01,451.8
1998-02-01,452.67
1998-03-01,454.18
1998-04-01,452.81
1998-05-01,454.58
1998-06-01,465.22
1998-07-01,465.21
1998-08-01,474.38
1998-09-01,466.38
1998-10-01,462.49
1998-11-01,466.22
1998-12-01,473.77
1999-01-01,483.25
1999-02-01,498.74
1999-03-01,483.83
1999-04-01,486.3
1999-05-01,493.26
1999-06-01,518.9
1999-07-01,515.97
1999-08-01,516.98
1999-09-01,531.11
1999-10-01,548.51
1999-11-01,546.79
1999-12-01,530.07
2000-01-01,517.89
2000-02-01,503.98
2000-03-01,505.81
2000-04-01,515.61
2000-05-01,524.77
2000-06-01,538.61
2000-07-01,556.38
2000-08-01,556.44
2000-09-01,565.37
2000-10-01,571.94
2000-11-01,580.37
2000-12-01,572.68
2001-01-01,563.62
2001-02-01,567.21
2001-03-01,592.91
2001-04-01,599.89
2001-05-01,610.53
2001-06-01,626.65
2001-07-01,664.38
2001-08-01,660.57
2001-09-01,696.23
2001-10-01,716.62
2001-11-01,681.9
2001-12-01,656.2
2002-01-01,678.19
2002-02-01,675.3
2002-03-01,664.44
2002-04-01,649.09
2002-05-01,654.44
2002-06-01,697.62
2002-07-01,700.98
2002-08-01,715.16
2002-09-01,747.62
2002-10-01,733.24
2002-11-01,705.1
2002-12-01,712.38
2003-01-01,734.34
2003-02-01,753.54
2003-03-01,727.36
2003-04-01,705.32
2003-05-01,710.12
2003-06-01,697.23
2003-07-01,705.64
2003-08-01,699.39
2003-09-01,665.13
2003-10-01,628.1
2003-11-01,624.51
2003-12-01,599.42
2004-01-01,596.78
2004-02-01,594.32
2004-03-01,623.21
2004-04-01,624.84
2004-05-01,632.32
2004-06-01,636.59
2004-07-01,638.37
2004-08-01,628.95
2004-09-01,606.96
2004-10-01,615.2
2004-11-01,588.18
2004-12-01,559.83
2005-01-01,586.18
2005-02-01,577.52
2005-03-01,586.45
2005-04-01,582.87
2005-05-01,580.2
2005-06-01,578.92
2005-07-01,563.44
2005-08-01,545.02
2005-09-01,533.69
2005-10-01,543.72
2005-11-01,518.96
2005-12-01,514.21
2006-01-01,524.78
2006-02-01,517.76
2006-03-01,527.7
2006-04-01,518.62
2006-05-01,531.11
2006-06-01,547.31
2006-07-01,539.41
2006-08-01,537.77
2006-09-01,538.22
2006-10-01,525.99
2006-11-01,529.29
2006-12-01,534.43
2007-01-01,545.18
2007-02-01,538.42
2007-03-01,539.37
2007-04-01,527.08
2007-05-01,527.52
2007-06-01,527.46
2007-07-01,523.08
2007-08-01,524.63
2007-09-01,511.72
2007-10-01,494.64
2007-11-01,508.47
2007-12-01,495.82
2008-01-01,465.3
2008-02-01,458.02
2008-03-01,439.09
2008-04-01,459.16
2008-05-01,479.66
2008-06-01,520.14
2008-07-01,502.78
2008-08-01,516.47
2008-09-01,552.47
2008-10-01,664.96
2008-11-01,659.43
2008-12-01,629.11
2009-01-01,612.43
2009-02-01,595.76
2009-03-01,582.1
2009-04-01,588.62
2009-05-01,564.64
2009-06-01,529.07
2009-07-01,541.9
2009-08-01,550.64
2009-09-01,546.07
2009-10-01,531.74
2009-11-01,495.84
2009-12-01,506.43
2010-01-01,531.75
2010-02-01,529.69
2010-03-01,526.29
2010-04-01,520.99
2010-05-01,529.23
2010-06-01,543.09
2010-07-01,522.36
2010-08-01,499.26
2010-09-01,485.23
2010-10-01,491.76
2010-11-01,486.39
2010-12-01,468.37
2011-01-01,483.32
2011-02-01,475.63
2011-03-01,482.08
2011-04-01,460.04
2011-05-01,467.31
2011-06-01,471.13
2011-07-01,455.91
2011-08-01,465.66
2011-09-01,515.14
2011-10-01,492.04
2011-11-01,524.25
2011-12-01,521.46
2012-01-01,488.99
2012-02-01,477.41
2012-03-01,489.76
2012-04-01,483.41
2012-05-01,517.91
2012-06-01,509.73
2012-07-01,482.83
2012-08-01,481.17
2012-09-01,470.48
2012-10-01,480.03
2012-11-01,479.42
2012-12-01,478.6
2013-01-01,471.4
2013-02-01,473.3
2013-03-01,472.54
2013-04-01,471.54
2013-05-01,492.8
2013-06-01,503.86
2013-07-01,509.89
2013-08-01,511.65
2013-09-01,502.97
2013-10-01,508.58
2013-11-01,528.19
2013-12-01,523.76
2014-01-01,547.22
2014-02-01,563.32
2014-03-01,550.53
2014-04-01,560.56
2014-05-01,554.04
2014-06-01,550.6
2014-07-01,570.51
2014-08-01,593.28
2014-09-01,601.66
2014-10-01,576.65
2014-11-01,598.94
2014-12-01,607.38
2015-01-01,626.48
2015-02-01,617.67
2015-03-01,626.87
2015-04-01,606.82
2015-05-01,617.45
2015-06-01,634.58
2015-07-01,672.19
2015-08-01,690.12
2015-09-01,704.68
2015-10-01,690.34
2015-11-01,712.63
2015-12-01,707.34
2016-01-01,711.72
2016-02-01,689.18
2016-03-01,675.1
2016-04-01,663.4
2016-05-01,690.27
2016-06-01,661.49
2016-07-01,664.94
2016-08-01,673.17
2016-09-01,659.08
2016-10-01,651.65
2016-11-01,675.48
2016-12-01,667.29
2017-01-01,648.87
2017-02-01,645.19
2017-03-01,662.66
2017-04-01,664.28
2017-05-01,675.31
2017-06-01,663.21
2017-07-01,651.58
2017-08-01,628.36
2017-09-01,636.85
2017-10-01,636.49
2017-11-01,642.41
2017-12-01,615.22
2018-01-01,604.42
2018-02-01,589.15
2018-03-01,605.26
2018-04-01,605.74
2018-05-01,628.33
2018-06-01,647.95
2018-07-01,638.79
2018-08-01,675.38
2018-09-01,661.5
2018-10-01,693.31
2018-11-01,669.43
2018-12-01,695.69
2019-01-01,666.76
2019-02-01,649.92
2019-03-01,681.09
2019-04-01,677.67
2019-05-01,707.86
2019-06-01,679.86
2019-07-01,699.98
2019-08-01,720.65
2019-09-01,725.68
2019-10-01,726.34
2019-11-01,793.49
2019-12-01,744.62
2020-01-01,797.96
2020-02-01,816.26
2020-03-01,846.3
2020-04-01,836.62
2020-05-01,812.74
